År,Lingbao,Zhengyi,Huoju Daoshi,Sanju Daoshi,Shoulu,Jiao,Zhai,Tianshi,Divination,Tilbagelevering af religiøs ejendom,Qigong
1980,-9.53430288245463050734,,,,-9.53430288245463050734,,,-6.21237478756726815194,-7.94934038173347431873,,
1981,,,,,,,,-4.55414391873937248776,-8.66266837551754154324,,-7.07770587479638536177
1982,-11.08015130961408728013,,,,-11.08015130961408728013,-9.49518880889293107783,,-6.49518880889293107260,-10.08015130961408726449,-11.08015130961408728013,-7.37971159147299509325
1983,-11.07614752802250526218,,,,,-9.07614752802250526217,,-6.82822001457891976834,-11.07614752802250526218,,-10.07614752802250526217
1984,,,,,,,,-6.57944165716014587182,-11.48633225276866442190,,-11.48633225276866442190
1985,,,,,,,,-6.53078146257009327522,,,
1986,-9.02236781302845451354,,,,,,,-5.93490497177811510040,-9.02236781302845451354,,-9.02236781302845451354
1987,-11.19936561685798163867,,,-12.19936561685798163867,,-12.19936561685798163867,,-6.91396339799573328634,-10.61440311613682545721,,-6.55550942708325693202
1988,,,,-12.24822408966847389897,,,,-5.98143754897357252341,,,-6.82195933496637594861
1989,-10.41230520495527199739,-12.41230520495527203674,,-9.82734270423411580283,,,,-5.67083821855412503074,,-11.41230520495527199741,-6.76844901518054728274
1990,-11.10394342989155729661,-10.10394342989155728073,,-8.78201533500419492331,,,,-6.46008724011683257542,-11.10394342989155729661,,-8.10394342989155727276
1991,-9.82109061807957704536,-12.62844554013718119198,-11.62844554013718114629,-10.62844554013718114629,,,,-7.16901392149988388588,,,-8.54098269888684173532
1992,,,,-10.16804526822408961232,-7.36069034616648549536,-12.16804526822408961235,,-6.23730793066120332492,-12.16804526822408961235,,-8.58308276750293341979
1993,,,,-9.36413465500805174584,,,,-7.19420965356573938079,-8.36413465500805174582,,-10.36413465500805174585
1994,-10.93835441159159219189,,-12.52331691231274837337,-6.96872806063511097764,-6.76842941014927980535,,,-6.66533591718517622916,,-11.52331691231274837336,-8.43585407106240894509
1995,,,,-10.76424960536715976493,-6.98288989184250015352,-12.76424960536715976495,,-6.74188179233870524891,-10.76424960536715976493,,-10.76424960536715976493
1996,-9.52116418479421898084,,,-10.36916109134916900861,-7.23165756759923408679,,,-6.31604975488960658467,,,-8.88373426417892723402
1997,-11.23840473932507890849,-11.23840473932507890849,,-11.23840473932507890849,-11.23840473932507890849,,,-9.65344223860392272702,,,-9.65344223860392272702
1998,,,,-7.26337591253224941345,-8.72280753116954667301,,,-6.91545260911194256205,-10.30777003189070285447,,-10.72280753116954668521
1999,-11.54592976908546741024,-12.13089226980662359170,,-9.13089226980662356741,-10.32353734774901946576,,,-5.86410572911172219859,-10.54592976908546738867,,-9.22400167419810503646
2000,-10.08159439329779581748,,,-11.66655689401895201459,-12.66655689401895201460,-13.66655689401895210840,,-6.96611717587785983430,-12.08159439329779586440,,-9.75966629841043346649
2001,-12.13314221240060121955,,-11.54817971167944501649,-11.13314221240060118715,,-13.13314221240060128437,,-7.74082478962184087816,,,-11.54817971167944501649
2002,-10.11135305817166456827,-12.69631555889282078168,,-10.88896063683521664686,-11.11135305817166456829,-12.69631555889282078168,,-7.56703254194785429074,,,-11.11135305817166456829
2003,-10.92566039962835857174,,-13.73301532168596267921,-11.73301532168596267919,-9.64555248043562324781,-13.73301532168596267921,,-6.34069789890720236569,,,-11.14805282096480649774
2004,-8.11728388177563392030,,-13.67187273345327135662,-9.67187273345327129775,-10.50194773201095893093,,,-6.36809198527616836540,-10.50194773201095893093,,-8.76498213784475276450
2005,-10.45669665091605845440,-13.62662165235837087816,-13.62662165235837087816,,-8.07203280068073342829,-13.62662165235837087816,,-6.41716828672942101732,-12.62662165235837087815,,-10.16719003372107355558
2006,-13.56248094534931527481,,-12.56248094534931527481,,,-12.56248094534931527481,,-7.72959093118457355051,,,-10.10304932671201797098
2007,,-13.62662165235837087816,,,-7.74397860299652954198,,,-8.37869413891478530749,-13.62662165235837087816,,-11.62662165235837083253
2008,-12.04371086334715601443,-12.04371086334715601443,-12.04371086334715601443,-13.04371086334715607536,-8.18572986821958384117,-12.04371086334715601443,,-7.06643093984723948892,-13.04371086334715607536,,-10.04371086334715596873
2009,-12.65452415267657646780,,,-10.19509253403927917775,-7.29697214805849273147,,,-7.26220672989781613676,-13.65452415267657646781,,-12.65452415267657646780
2010,-10.23135453515421507840,-13.40127953659652745868,-12.40127953659652745868,,-8.75742334682180274417,-12.40127953659652745868,,-8.64639203443305889694,-8.40127953659652744399,,-8.75742334682180274417
2011,-10.86449570265158183988,-13.18642379753894429537,,,-13.18642379753894429537,-12.18642379753894422811,,-8.54256760776421949199,,,-10.60146129681778802423
