År,Xiejiao,Falun Gong,Human Rights Watch,Turisme,Folkereligion,Kulturarv
1980,,,,-8.53430288245463050197,,
1981,,,,,,
1982,,,,-11.08015130961408728013,,
1983,,,,,,
1984,,,,,,
1985,,,,-10.23122118071118543567,,
1986,,,,-8.43740531230729832958,,
1987,,,,-8.61440311613682544589,,
1988,,,,-9.24822408966847389017,,
1989,-12.41230520495527203674,,,-8.01998778217651169162,,
1990,-11.10394342989155729661,,,-11.10394342989155729661,,
1991,,,,-8.45852053869486878335,,
1992,,,,-8.84611717333672725780,,
1993,,,,-10.36413465500805174585,,
1994,,,,-8.43585407106240894509,,
1995,,,,-8.51632209192357426583,,
1996,,,,-8.69108918623653134572,,
1997,,,,,,
1998,-12.30777003189070289107,,,-9.50041510983309875224,,
1999,-11.13089226980662359169,-9.80896417491926121793,,-7.34953255628196395934,,
2000,-10.49663189257663964124,-11.34462879913158964795,,-9.27423947124019171227,,
2001,-6.56328660406965332531,-5.95323312238566669861,,-7.77559020778251747419,,
2002,-9.52639055745050838683,-9.23688394025552349062,,-8.65192143953436730917,,
2003,-11.73301532168596267919,-13.73301532168596267921,,-8.60373230474099620139,,
2004,-11.34994463856590897108,-12.08691023273211511239,,-10.86451781139566719536,,
2005,-11.30469355747100845728,-11.30469355747100845728,,-10.30469355747100845727,,
2006,,,,-10.24055285046195289200,,
2007,-13.62662165235837087816,-12.62662165235837087815,,-11.04165915163721463586,,
2008,-13.04371086334715607536,,,-9.34327114520606380247,,
2009,,-13.65452415267657646781,,-9.26220672989781614343,,
2010,,,,-8.31381669534618803202,,
2011,-12.18642379753894422811,,,-10.37906887548134009184,,
