Politik

De fire kardinalpunkter	四项基本原则
De tre repræsentanter	三个代表
Videnskabelig udvikling	科学发展观
Harmonisk Samfund	和谐社会
Tilpasse religion til socialismen	宗教与社会主义社会相适应
Standardisering/Normalisering	正常化
KKP	中国共产党
RAB	国务院宗教事务局
RAB	国家宗教事务局
RAB	宗教局
Patriotisme	爱国主义
Marxisme	马克思主义


Quanzhen

Quanzhen	全真
Longmen	龙门
Qiu Chuji	丘處機
Forfinet kultivation	修煉
Initiation	传戒
Baiyunguan	白云观
Neidan	内丹
Zuobo	坐钵
Kloster	寺院
Munke	僧


Daoisme

Lingbao	灵宝派
Zhengyi	正一
Huoju Daoshi	火居道士
Sanju Daoshi	散居道士
Shoulu	授箓
Jiao	醮
Zhai	齋
Tianshi	天师
Divination	卜筮
Tilbagelevering af religiøs ejendom	恢复宗教活动场所
Qigong	气功


Ekstra

Xiejiao	邪教
Falun Gong	法轮功
Human Rights Watch	人权观察
Turisme	旅游
Folkereligion	民间信仰
Kulturarv	文化遗产
